_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
600032;SOCOLEC;GENIE CLIMATIQUE;TFAS-075-050;00029002918;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL  750W BLC;          ACOVA                          ;UNITÉ;469,00;267,61;
600033;SOCOLEC;GENIE CLIMATIQUE;TAX-150-093;00029003973;RADIATEUR ATOLL 1500W;          ACOVA                          ;UNITÉ;482,30;265,26;
600034;SOCOLEC;GENIE CLIMATIQUE;TFAS-050-050;00029002917;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL  500W BLC;          ACOVA                          ;UNITÉ;432,40;246,47;
600035;SOCOLEC;GENIE CLIMATIQUE;TAQ-125-084;00029002737;RADIATEUR TAÏGA EVOLUTION 1250 W;          ACOVA                          ;UNITÉ;640,70;365,20;
600036;SOCOLEC;GENIE CLIMATIQUE;LN112-050S;00029232329;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  612+1000W BLANC;          ACOVA                          ;UNITÉ;n'existe plus;262,54;
600037;SOCOLEC;GENIE CLIMATIQUE;TLN-100-050;00029001917;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1000W;          ACOVA                          ;UNITÉ;447,80;255,25;
600038;SOCOLEC;GENIE CLIMATIQUE;TMC06-150-104;00029002036;RADIATEUR VUELTA TMC 1500 W;          ACOVA                          ;UNITÉ;879,20;527,52;
600039;SOCOLEC;GENIE CLIMATIQUE;TAQ-100-076;00029002736;RADIATEUR TAÏGA EVOLUTION 1000 W;          ACOVA                          ;UNITÉ;584,30;333,05;
600040;SOCOLEC;GENIE CLIMATIQUE;TLN050-050IFS;00029232356;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  500+1000W BLANC;          ACOVA                          ;UNITÉ;615,50;350,83;
600041;SOCOLEC;GENIE CLIMATIQUE;TSXP-150-080LF;00029004209;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1500W;          ACOVA                          ;UNITÉ;881,80;485,64;
600042;SOCOLEC;GENIE CLIMATIQUE;LNO112-050S;00029232354;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  402+1000W CHROME;          ACOVA                          ;UNITÉ;1 249,00;711,93;
600043;SOCOLEC;GENIE CLIMATIQUE;TSL-100-050-TF;00029232071;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT 1000W;          ACOVA                          ;UNITÉ;405,00;230,85;
600044;SOCOLEC;GENIE CLIMATIQUE;THXP150 - 200LF;00029004223;RADIATEUR FASSANE  PREMIUM  1500 W;          ACOVA                          ;UNITÉ;1 065,70;607,45;
