_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600048;DUPONT;RECEVEURS;7342AG;PRIMA EXTRA PLAT ANTI GLISSE 90x90        Blanc;ALLIA;UN;277,00;182,82
600049;DUPONT;RESERVOIR DE CHASSE;3615;Réservoir attenant UNIVERSEL;ALLIA;UN;153,00;97,54
600050;DUPONT;ACCESSOIRES CHAUFFERIE;CPS 180-4;Accélérateur H180 sans RU ;ALTECH;UN;73,50;52,37
600051;DUPONT;ACCESSOIRES CHAUFFERIE;CPS 180-6;Accélérateur H180 sans RU ;ALTECH;UN;81,45;58,03
600052;DUPONT;ACCESSOIRES CHAUFFERIE;CPE 180-6;Accélérateur H180 sans RU ;ALTECH;UN;150,45;107,20
600053;DUPONT;ACCESSOIRES CHAUFFERIE;LPC800W;Pompe Vide cave 12m3/h;ALTECH;UN;153,33;109,25
600054;DUPONT;ACCESSOIRES CHAUFFERIE;LCI600W;Pompe Vide cave 12m3/h inox;ALTECH;UN;211,99;151,04
600055;DUPONT;ACCESSOIRES CHAUFFERIE;LPD1000W;Pompe Vide cave 14m3/h;ALTECH;UN;211,99;151,04
600056;DUPONT;ACCESSOIRES CHAUFFERIE;LPC300W;Pompe Vide cave 8m3/h;ALTECH;UN;133,02;94,78
600057;DUPONT;ACCESSOIRES CHAUFFERIE;ALTHC014;Termostat Amb Hebdo s/fil ;ALTECH;UN;150,00;106,88
600058;DUPONT;ACCESSOIRES CHAUFFERIE;ALTHC004;Thermostat Amb Hebdo;ALTECH;UN;75,00;53,44
600059;DUPONT;ACCESSOIRES CHAUFFERIE;ALTHC007;Thermostat Amb mecanique ;ALTECH;UN;14,00;9,98
600060;DUPONT;MECANISME;MWS90CDB;Mécanisme complet DUO +;ALTECH;UN;36,00;25,65
600061;DUPONT;MECANISME;MWS00CDB;Mécanisme seul DUO;ALTECH;UN;26,67;19,00
600062;DUPONT;PLANCHER CHAUFFANT;3167310;ACCESSOIRES  Agraphes dalle Altech bte 5x500;ALTECH;UN;190,00;128,25
600063;DUPONT;PLANCHER CHAUFFANT;3146165;ACCESSOIRES  Coffret mur a/encas/ collect 4a6 sort;ALTECH;UN;195,44;131,92
600064;DUPONT;PLANCHER CHAUFFANT;3146160;ACCESSOIRES  Racc pour tube PER 3/4X18X16X20;ALTECH;UN;4,85;3,27
600065;DUPONT;PLANCHER CHAUFFANT;3146159;ACCESSOIRES  vanne sphere A/FILTRE FM28 FF 26X34;ALTECH;UN;44,29;29,90
600066;DUPONT;PLANCHER CHAUFFANT;3146157;ACCESSOIRES  vanne sphere p/collecteur (X2);ALTECH;UN;32,96;22,25
600067;DUPONT;PLANCHER CHAUFFANT;3146158;ACCESSOIRES  vanne sphere p/collecteur EQ (X2);ALTECH;UN;33,99;22,94
600068;DUPONT;PLANCHER CHAUFFANT;3167308;ACCESSOIRES Bande périphérique 150x5 50ml;ALTECH;UN;48,00;28,80
600069;DUPONT;PLANCHER CHAUFFANT;3146161;ACCESSOIRES Racc pour assemblage collecteur;ALTECH;UN;4,94;3,33
600070;DUPONT;PLANCHER CHAUFFANT;3146163;ACCESSOIRES Thermometre rechange 0-60°;ALTECH;UN;10,51;7,09
600071;DUPONT;PLANCHER CHAUFFANT;3146150;"Collecteur 1"" cplet debimetre x2 C";ALTECH;UN;206,89;124,13
600072;DUPONT;PLANCHER CHAUFFANT;3146151;"Collecteur 1"" cplet debimetre x3 C";ALTECH;UN;246,61;147,97
600073;DUPONT;PLANCHER CHAUFFANT;3146152;"Collecteur 1"" cplet debimetre x4 C";ALTECH;UN;288,98;173,39
600074;DUPONT;PLANCHER CHAUFFANT;3146153;"Collecteur 1"" cplet debimetre x5 C";ALTECH;UN;328,69;197,21
600075;DUPONT;PLANCHER CHAUFFANT;3146154;"Collecteur 1"" cplet debimetre x6 C";ALTECH;UN;368,41;221,05
600076;DUPONT;PLANCHER CHAUFFANT;3146155;"Collecteur 1"" cplet debimetre x7 C";ALTECH;UN;408,13;244,88
600077;DUPONT;PLANCHER CHAUFFANT;3146156;"Collecteur 1"" cplet debimetre x8 C";ALTECH;UN;453,13;271,88
600078;DUPONT;PLANCHER CHAUFFANT;3178968;Dalle Plane sol EP 30 R 1,30 1,2X1;ALTECH;UN;13,53;8,12
600079;DUPONT;PLANCHER CHAUFFANT;3178971;Dalle Plane sol EP 40 R 1,70 1,2X1;ALTECH;UN;15,95;9,57
600080;DUPONT;PLANCHER CHAUFFANT;3178972;Dalle Plane sol EP 51 R 2,22 1,2X1;ALTECH;UN;18,61;11,17
600081;DUPONT;PLANCHER CHAUFFANT;3178974;Dalle Plane sol EP 60 R 2,60 1,2X1;ALTECH;UN;21,72;13,03
600082;DUPONT;PLANCHER CHAUFFANT;3178975;Dalle Plane sol EP 81 R 3,50 1,2X1;ALTECH;UN;27,83;16,70
600083;DUPONT;PLANCHER CHAUFFANT;3122238;Tube Altech PER nu BAO RG 20X1,9 120ml;ALTECH;UN;168,18;113,52
600084;DUPONT;PLANCHER CHAUFFANT;3122239;Tube Altech PER nu BAO RG 20X1,9 240ml;ALTECH;UN;324,98;219,36
600085;DUPONT;PLANCHER CHAUFFANT;3122236;Tube Altech PER nu BAO RG16X1,5 120ml;ALTECH;UN;130,02;87,76
600086;DUPONT;PLANCHER CHAUFFANT;3122237;Tube Altech PER nu BAO RG16X1,5 240ml;ALTECH;UN;252,98;170,76
600087;DUPONT;PLANCHER CHAUFFANT;3122220;Tube Altech PER nu bleue D16 120ml;ALTECH;UN;65,01;43,88
600088;DUPONT;PLANCHER CHAUFFANT;3122221;Tube Altech PER nu bleue D16 240ml;ALTECH;UN;127,20;85,86
600089;DUPONT;PLANCHER CHAUFFANT;3122222;Tube Altech PER nu bleue D20 120ml;ALTECH;UN;107,41;72,50
600090;DUPONT;PLANCHER CHAUFFANT;3122227;Tube Altech PER nu bleue D20 240ml;ALTECH;UN;209,17;141,19
600091;DUPONT;PLANCHER CHAUFFANT;3122224;Tube Altech PER nu rouge D16 120ml;ALTECH;UN;65,01;43,88
600092;DUPONT;PLANCHER CHAUFFANT;3122225;Tube Altech PER nu rouge D16 240ml;ALTECH;UN;127,20;85,86
600093;DUPONT;PLANCHER CHAUFFANT;3122226;Tube Altech PER nu rouge D20 120ml;ALTECH;UN;107,41;72,50
600094;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981369;CORPS DE ROBINET CORPS EQUERRE 12x17                       ;ALTECH;UN;8,93;6,36
600095;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981377;RACCORDS DE REGLAGE CORPS DROIT 12x17                             ;ALTECH;UN;4,12;2,94
600096;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981378;RACCORDS DE REGLAGE CORPS DROIT 15x21                             ;ALTECH;UN;4,12;2,94
600097;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981375;RACCORDS DE REGLAGE CORPS EQUERRE 12x17                       ;ALTECH;UN;3,44;2,45
600098;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981376;RACCORDS DE REGLAGE CORPS EQUERRE 15x21                       ;ALTECH;UN;3,44;2,45
600099;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981361;ROBINET MANUEL CORPS EQUERRE 12x17                       ;ALTECH;UN;4,81;3,43
600100;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981363;SIMPLE REGLAGE CORPS DROIT 12x17  (D)                           ;ALTECH;UN;4,81;3,43
600101;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981364;SIMPLE REGLAGE CORPS DROIT 15x21                             ;ALTECH;UN;4,81;3,43
600102;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981362;SIMPLE REGLAGE CORPS EQUERRE 15x21                       ;ALTECH;UN;4,81;3,43
600103;DUPONT;ROBINETS THERMOSTATIQUES MANUELS;1981357;TETE THERMOSTATIQUE  BULBE à LIQUIDE;ALTECH;UN;9,61;6,85
