_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
202211;CDL;APPAREILLAGE;A9R11463;3511124;INTER.DIFF.4X63-30MATYPEAC;SCHNEIDER;UN;243; 180,24   ;
202212;CDL;APPAREILLAGE;A9R14463;3511127;INTER.DIFF.4X63-300MATYPEAC;SCHNEIDER;UN;165; 122,23   ;
202213;CDL;APPAREILLAGE;EPN510;1222235;TELERUPTEUR16A-250V1F;HAGER;UN;27; 19,65   ;
202214;CDL;APPAREILLAGE;EPS510B;3752873;TELERUPTEUR16A-250V1FSANSVIS;HAGER;UN;28; 20,85   ;
202215;CDL;APPAREILLAGE;5820;1017182;COUPECIRCUIT10APH+N;LEGRAND;UN;11; 8,06   ;
202216;CDL;APPAREILLAGE;5821;1017179;COUPECIRCUIT16APH+N;LEGRAND;UN;11; 8,06   ;
202217;CDL;APPAREILLAGE;5822;1017180;COUPECIRCUIT20APH+N;LEGRAND;UN;10; 7,66   ;
202218;CDL;APPAREILLAGE;5824;1017181;COUPECIRCUIT32APH+N;LEGRAND;UN;10; 7,73   ;
202219;CDL;APPAREILLAGE;412631;3679959;INTERHORAIREDIGITALMULTIFONCTIONHEBDOMADAIREPOURENSEIGNELUMINEUSE;LEGRAND;UN;155; 114,55   ;
202220;CDL;APPAREILLAGE;406441;3986444;INTERRUPTEUR-SECTIONNEURBIPOLAIRE400VDX3-IS2P63A;LEGRAND;UN;40; 29,65   ;
202221;CDL;APPAREILLAGE;412602;1205704;MINUTERIEELECTRONIQUE;LEGRAND;UN;44; 32,51   ;
202222;CDL;APPAREILLAGE;4280;1017219;PC2P+T10/16A;LEGRAND;UN;10; 7,59   ;
202223;CDL;APPAREILLAGE;404937;3682379;PEIGNED'ALIMENTATIONUNIPOLAIREUNIVERSELLONG1METRE;LEGRAND;UN;25; 18,78   ;
202224;CDL;APPAREILLAGE;404926;1017159;PEIGNED'ALIMENTATIONUNIPOLAIREUNIVERSELLONG13MODULES;LEGRAND;UN;4; 2,66   ;
202225;CDL;APPAREILLAGE;412408;3124500;TELERUPTEUR16A-250V1F;LEGRAND;UN;26; 18,99   ;
202226;CDL;APPAREILLAGE;412420;3680091;TELERUPTEUR16A-250V1FBORNESAUTO;LEGRAND;UN;26; 18,99   ;
202227;CDL;APPAREILLAGE;412400;3680095;TELERUPTEURSILENCIEUX16A-250VUNIPOLAIRE;LEGRAND;UN;30; 21,98   ;
202228;CDL;APPAREILLAGE;A9S60220;3511128;INTERRUPTEURDESECTEURISW2P20A415VCA;SCHNEIDER;UN;14; 10,63   ;
202229;CDL;APPAREILLAGE;16655;3755990;MINUTERIEMIN'CLIC(1A7MIN)(DUOLINE);SCHNEIDER;UN;41; 30,54   ;
202230;CDL;APPAREILLAGE;16776;3755989;PC2P+T10/16AMODULAIRE;SCHNEIDER;UN;9; 6,70   ;
202231;CDL;APPAREILLAGE;14879;3756550;PEIGNEDERACCORDEMENTBAR'CLICBLEU26PASDE9MMLELOTDE24;SCHNEIDER;UN;3; 2,37   ;
202232;CDL;APPAREILLAGE;14878;3298748;PEIGNEDERACCORDEMENTBAR'CLICGRIS26PASDE9MMLELOTDE24;SCHNEIDER;UN;3; 2,37   ;
202233;CDL;APPAREILLAGE;16172;3237543;REPARTITEURDISTRI'CLICXE13MODULESAVECCONNECTEUR;SCHNEIDER;UN;8; 5,84   ;
202234;CDL;APPAREILLAGE;16182;3046042;REPARTITEURDISTRI'CLICXE13MODULESSANSCONNECTEUR;SCHNEIDER;UN;8; 5,60   ;
202235;CDL;APPAREILLAGE;16173;3237544;REPARTITEURDISTRI'CLICXE18MODULESAVECCONNECTEURS(DUOLINE);SCHNEIDER;UN;11; 8,14   ;
202236;CDL;APPAREILLAGE;16170;3237541;REPARTITEURDISTRI'CLICXE5MODULESAVECCONNECTEURS;SCHNEIDER;UN;5; 3,84   ;
202237;CDL;APPAREILLAGE;16180;3046040;REPARTITEURDISTRI'CLICXE5MODULESSANSCONNECTEUR;SCHNEIDER;UN;4; 3,23   ;
202238;CDL;APPAREILLAGE;16171;3237542;REPARTITEURDISTRI'CLICXE8MODULESAVECCONNECTEUR;SCHNEIDER;UN;6; 4,54   ;
202239;CDL;APPAREILLAGE;16181;3046041;REPARTITEURDISTRI'CLICXE8MODULESSANSCONNECTEUR;SCHNEIDER;UN;6; 4,16   ;
202240;CDL;APPAREILLAGE;A9C15506;3511194;TELERUPTEUR16A-250V1F;SCHNEIDER;UN;27; 19,81   ;
202241;CDL;APPAREILLAGE;A9C15032;3757175;TELERUPTEURSILENCIEUX1F16ABORNEAUTO;SCHNEIDER;UN;39; 29,20   ;
202242;CDL;APPAREILLAGE;EER31110;3397085;CAPTEURDEMESUREDESIMPULSIONS(COMPTEURGAZ,DÉBIMETRE,CALORIMETRE);SCHNEIDER;UN;49; 36,54   ;
202243;CDL;APPAREILLAGE;EER31120;3397086;CONCENTRATEURDECAPTEUR-RÉCEPTEURD'IMPORTATION;SCHNEIDER;UN;28; 20,74   ;
202244;CDL;APPAREILLAGE;EER39000;3397092;CONCENTRATEURDETCMODULAIRE+5TC;SCHNEIDER;UN;165; 121,97   ;
202245;CDL;APPAREILLAGE;EER22000;3397084;ECRANTACTILEENCASTRABLE3.5POUCESDÉPORTÉ;SCHNEIDER;UN;63; 46,92   ;
