_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500046;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;support fixe mural EUROBASIC;EUROBASIC;un;6,02;4,30;;;;;;;
500047;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;support cavalier EUROBASIC;EUROBASIC;un;19,66;14,04;;;;;;;
500048;brossette;ENSEMBLE DE DOUCHE;28403000;support fixe mural GROHE MOVARIO;EUROBASIC;un;17,05;12,18;;;;;;;
500049;brossette;ENSEMBLE DE DOUCHE;28401000;applique murale GROHE MOVARIO;EUROBASIC;un;40,95;29,25;;;;;;;
500050;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;douchette ELIOS JET;EUROBASIC;un;13,40;9,57;;;;;;;
500051;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;douchette ELIOS TOP;EUROBASIC;un;24,58;17,56;;;;;;;
500052;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;douchette ELIOS RAIN;EUROBASIC;un;49,45;35,32;;;;;;;
500053;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;ensemble douche sur applique ELIOS JET;EUROBASIC;un;25,51;18,22;;;;;;;
500054;brossette;ENSEMBLE DE DOUCHE;28393000;Douchette GROHE MOVARIO FIVE;EUROBASIC;un;127,47;91,05;;;;;;;
500055;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;Flexible double agrafage 1,50 ml EUROBASIC;EUROBASIC;un;9,97;7,12;;;;;;;
500056;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;Flexible double agrafage 2 ml EUROBASIC;EUROBASIC;un;13,06;9,33;;;;;;;
500057;brossette;ENSEMBLE DE DOUCHE;28409000;Flexible double agrafage 1,50 ml GROHE ROTAFLEX;GROHE;un;18,19;12,99;;;;;;;
500058;brossette;ENSEMBLE DE DOUCHE;28413000;Flexible double agrafage 2 ml GROHE ROTAFLEX;GROHE;un;22,88;16,34;;;;;;;
500059;brossette;PARE BAIGNOIRE;;NABIS type ONDINA fixation gauche;NABIS;un;216,47;154,62;;;;;;;
500060;brossette;PARE BAIGNOIRE;;NABIS type ONDINA fixation droite;NABIS;un;216,47;154,62;;;;;;;
500061;brossette;PARE BAIGNOIRE;;NABIS type Transparent fixation gauche;NABIS;un;216,47;154,62;;;;;;;
500062;brossette;PARE BAIGNOIRE;;NABIS type Transparent fixation droite;NABIS;un;216,47;154,62;;;;;;;
