_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900035;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHX-200-044;29005588;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-044930W;ACOVA;1;299,00;229,99
900036;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHX-200-059;29005589;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-0591240W;ACOVA;1;379,00;287,18
900037;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHX-200-074;29005590;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-0741550W;ACOVA;1;449,00;343,70
900038;SONEPAROUEST;RADIATEURAINERTIE;;TAX-200-125;29003974;RADIATEURATOLL2000W;ACOVA;1;636,89;300,53
900039;SONEPAROUEST;RADIATEURAINERTIE;;TAX-050-037;29003969;RADIATEURATOLL500W;ACOVA;1;319,77;157,07
900040;SONEPAROUEST;RADIATEURAINERTIE;;TAX-075-045;29003970;RADIATEURATOLL750W;ACOVA;1;348,53;164,47
900041;SONEPAROUEST;RADIATEURAINERTIE;;TAX-100-061;29003971;RADIATEURATOLL1000W;ACOVA;1;408,51;189,42
900042;SONEPAROUEST;RADIATEURAINERTIE;;TAX-125-077;29003972;RADIATEURATOLL1250W;ACOVA;1;456,65;213,19
900043;SONEPAROUEST;RADIATEURAINERTIE;;TAX-150-093;29003973;RADIATEURATOLL1500W;ACOVA;1;516,94;239,38
900044;SONEPAROUEST;RADIATEURAINERTIE;;THXP075-150LF;29004215;RADIATEURFASSANEPREMIUMDIGITAL750W;ACOVA;1;963,19;615,57
900045;SONEPAROUEST;RADIATEURAINERTIE;;THXP075-200LF;29004216;RADIATEURFASSANEPREMIUMDIGITAL750W;ACOVA;1;964,21;616,22
900046;SONEPAROUEST;RADIATEURAINERTIE;;THXP100-220LF;29004219;RADIATEURFASSANEPREMIUMDIGITAL1000W;ACOVA;1;1025,51;655,40
900047;SONEPAROUEST;RADIATEURAINERTIE;;THXP100-200LF;29004218;RADIATEURFASSANEPREMIUMDIGITAL1000W;ACOVA;1;993,79;635,13
