_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600050;dupont;ACCESSOIRES CHAUFFERIE;CPS 180-4;Accélérateur H180 sans RU ;ALTECH;UN;73,5;52,37
600051;dupont;ACCESSOIRES CHAUFFERIE;CPS 180-6;Accélérateur H180 sans RU ;ALTECH;UN;81,45;58,03
600052;dupont;ACCESSOIRES CHAUFFERIE;CPE 180-6;Accélérateur H180 sans RU ;ALTECH;UN;150,45;107,2
600053;dupont;ACCESSOIRES CHAUFFERIE;LPC800W;Pompe Vide cave 12m3/h;ALTECH;UN;153,33;109,25
600054;dupont;ACCESSOIRES CHAUFFERIE;LCI600W;Pompe Vide cave 12m3/h inox;ALTECH;UN;211,99;151,04
600055;dupont;ACCESSOIRES CHAUFFERIE;LPD1000W;Pompe Vide cave 14m3/h;ALTECH;UN;211,99;151,04
600056;dupont;ACCESSOIRES CHAUFFERIE;LPC300W;Pompe Vide cave 8m3/h;ALTECH;UN;133,02;94,78
600057;dupont;ACCESSOIRES CHAUFFERIE;ALTHC014;Termostat Amb Hebdo s/fil ;ALTECH;UN;150;106,88
600058;dupont;ACCESSOIRES CHAUFFERIE;ALTHC004;Thermostat Amb Hebdo;ALTECH;UN;75;53,44
600059;dupont;ACCESSOIRES CHAUFFERIE;ALTHC007;Thermostat Amb mecanique ;ALTECH;UN;14;9,98
600060;dupont;MECANISME;MWS90CDB;Mécanisme complet DUO +;ALTECH;UN;36;25,65
600061;dupont;MECANISME;MWS00CDB;Mécanisme seul DUO;ALTECH;UN;26,67;19
600062;dupont;PLANCHER CHAUFFANT;3167310;ACCESSOIRES  Agraphes dalle Altech bte 5x500;ALTECH;UN;190;128,25
600063;dupont;PLANCHER CHAUFFANT;3146165;ACCESSOIRES  Coffret mur a/encas/ collect 4a6 sort;ALTECH;UN;195,44;131,92
600064;dupont;PLANCHER CHAUFFANT;3146160;ACCESSOIRES  Racc pour tube PER 3/4X18X16X20;ALTECH;UN;4,85;3,27
600065;dupont;PLANCHER CHAUFFANT;3146159;ACCESSOIRES  vanne sphere A/FILTRE FM28 FF 26X34;ALTECH;UN;44,29;29,9
600066;dupont;PLANCHER CHAUFFANT;3146157;ACCESSOIRES  vanne sphere p/collecteur (X2);ALTECH;UN;32,96;22,25
600067;dupont;PLANCHER CHAUFFANT;3146158;ACCESSOIRES  vanne sphere p/collecteur EQ (X2);ALTECH;UN;33,99;22,94
600068;dupont;PLANCHER CHAUFFANT;3167308;ACCESSOIRES Bande périphérique 150x5 50ml;ALTECH;UN;48;28,8
600069;dupont;PLANCHER CHAUFFANT;3146161;ACCESSOIRES Racc pour assemblage collecteur;ALTECH;UN;4,94;3,33
600070;dupont;PLANCHER CHAUFFANT;3146163;ACCESSOIRES Thermometre rechange 0-60°;ALTECH;UN;10,51;7,09
600071;dupont;PLANCHER CHAUFFANT;3146150;Collecteur 1 cplet debimetre x2 C;ALTECH;UN;206,89;124,13
600072;dupont;PLANCHER CHAUFFANT;3146151;Collecteur 1 cplet debimetre x3 C;ALTECH;UN;246,61;147,97
600073;dupont;PLANCHER CHAUFFANT;3146152;Collecteur 1 cplet debimetre x4 C;ALTECH;UN;288,98;173,39
600074;dupont;PLANCHER CHAUFFANT;3146153;Collecteur 1 cplet debimetre x5 C;ALTECH;UN;328,69;197,21
600075;dupont;PLANCHER CHAUFFANT;3146154;Collecteur 1 cplet debimetre x6 C;ALTECH;UN;368,41;221,05
600076;dupont;PLANCHER CHAUFFANT;3146155;Collecteur 1 cplet debimetre x7 C;ALTECH;UN;408,13;244,88
600077;dupont;PLANCHER CHAUFFANT;3146156;Collecteur 1 cplet debimetre x8 C;ALTECH;UN;453,13;271,88
600078;dupont;PLANCHER CHAUFFANT;3178968;Dalle Plane sol EP 30 R 1,30 1,2X1;ALTECH;UN;13,53;8,12
600079;dupont;PLANCHER CHAUFFANT;3178971;Dalle Plane sol EP 40 R 1,70 1,2X1;ALTECH;UN;15,95;9,57
600080;dupont;PLANCHER CHAUFFANT;3178972;Dalle Plane sol EP 51 R 2,22 1,2X1;ALTECH;UN;18,61;11,17
600081;dupont;PLANCHER CHAUFFANT;3178974;Dalle Plane sol EP 60 R 2,60 1,2X1;ALTECH;UN;21,72;13,03
600082;dupont;PLANCHER CHAUFFANT;3178975;Dalle Plane sol EP 81 R 3,50 1,2X1;ALTECH;UN;27,83;16,7
600083;dupont;PLANCHER CHAUFFANT;3122238;Tube Altech PER nu BAO RG 20X1,9 120ml;ALTECH;UN;168,18;113,52
600084;dupont;PLANCHER CHAUFFANT;3122239;Tube Altech PER nu BAO RG 20X1,9 240ml;ALTECH;UN;324,98;219,36
600085;dupont;PLANCHER CHAUFFANT;3122236;Tube Altech PER nu BAO RG16X1,5 120ml;ALTECH;UN;130,02;87,76
600086;dupont;PLANCHER CHAUFFANT;3122237;Tube Altech PER nu BAO RG16X1,5 240ml;ALTECH;UN;252,98;170,76
600087;dupont;PLANCHER CHAUFFANT;3122220;Tube Altech PER nu bleue D16 120ml;ALTECH;UN;65,01;43,88
600088;dupont;PLANCHER CHAUFFANT;3122221;Tube Altech PER nu bleue D16 240ml;ALTECH;UN;127,2;85,86
600089;dupont;PLANCHER CHAUFFANT;3122222;Tube Altech PER nu bleue D20 120ml;ALTECH;UN;107,41;72,5
600090;dupont;PLANCHER CHAUFFANT;3122227;Tube Altech PER nu bleue D20 240ml;ALTECH;UN;209,17;141,19
600091;dupont;PLANCHER CHAUFFANT;3122224;Tube Altech PER nu rouge D16 120ml;ALTECH;UN;65,01;43,88
600092;dupont;PLANCHER CHAUFFANT;3122225;Tube Altech PER nu rouge D16 240ml;ALTECH;UN;127,2;85,86
600093;dupont;PLANCHER CHAUFFANT;3122226;Tube Altech PER nu rouge D20 120ml;ALTECH;UN;107,41;72,5
600094;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981369;CORPS DE ROBINET CORPS EQUERRE 12x17                       ;ALTECH;UN;8,93;6,36
600095;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981377;RACCORDS DE REGLAGE CORPS DROIT 12x17                             ;ALTECH;UN;4,12;2,94
600096;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981378;RACCORDS DE REGLAGE CORPS DROIT 15x21                             ;ALTECH;UN;4,12;2,94
600097;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981375;RACCORDS DE REGLAGE CORPS EQUERRE 12x17                       ;ALTECH;UN;3,44;2,45
600098;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981376;RACCORDS DE REGLAGE CORPS EQUERRE 15x21                       ;ALTECH;UN;3,44;2,45
600099;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981361;ROBINET MANUEL CORPS EQUERRE 12x17                       ;ALTECH;UN;4,81;3,43
600100;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981363;SIMPLE REGLAGE CORPS DROIT 12x17  (D)                           ;ALTECH;UN;4,81;3,43
600101;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981364;SIMPLE REGLAGE CORPS DROIT 15x21                             ;ALTECH;UN;4,81;3,43
600102;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981362;SIMPLE REGLAGE CORPS EQUERRE 15x21                       ;ALTECH;UN;4,81;3,43
600103;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981357;TETE THERMOSTATIQUE  BULBE à LIQUIDE;ALTECH;UN;9,61;6,85
600104;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981371;THERMOSTATIQUE  CORPS DROIT 12X17;ALTECH;UN;9,19;6,55
600105;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981372;THERMOSTATIQUE  CORPS DROIT 15x21                             ;ALTECH;UN;8,84;6,3
600106;dupont;ROBINETS THERMOSTATIQUES MANUELS;1981370;THERMOSTATIQUE CORPS EQUERRE 15x21                       ;ALTECH;UN;8,24;5,87
600107;dupont;BAIGNOIRES;;baignoires acryliques primeo 2 140X70;ALTERNA;UN;97,92;69,77
600108;dupont;BAIGNOIRES;;baignoires acryliques primeo 2 170x70;ALTERNA;UN;93,84;66,86
600109;dupont;BAIGNOIRES;;baignoires acryliques primeo 2150x70;ALTERNA;UN;97,92;69,77
600110;dupont;BAIGNOIRES;;baignoires acryliques primeo 2160x70;ALTERNA;UN;93,84;66,86
600111;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2 170x80;ALTERNA;UN;186,66;133
600112;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2 180x80;ALTERNA;UN;203,99;145,34
600113;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2140;ALTERNA;UN;132,5;94,41
600114;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2140X140;ALTERNA;UN;238,5;169,93
600115;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2160x75;ALTERNA;UN;142,8;101,75
600116;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2160X90;ALTERNA;UN;213,18;151,89
600117;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2160X90;ALTERNA;UN;213,18;151,89
600118;dupont;BAIGNOIRES;;baignoires acryliques serie concerto 2170x75;ALTERNA;UN;153;109,01
600119;dupont;BATI SUPPORT;;Bati autop.+pl.cde blc CONCERTO;ALTERNA;UN;153,33;109,25
600120;dupont;BATI SUPPORT;;Bati autoportant CONCERTO ;ALTERNA;UN;211,9;150,98
