_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
405105;RACCORDS SERVICES;CONDUITES MONTA;;760216;TE PIQUAGE P/CM A JSC 20X22 20X27;GURTNER;PIECE;22,72;17,04
405106;RACCORDS SERVICES;CONDUITES MONTA;;760217;TE PIQUAGE P/CM A JSC 26X28 20X27;GURTNER;PIECE;27,14;20,36
405107;RACCORDS SERVICES;GAZ NATUREL    ;;760221;FOURREAU DROIT POUR PE GAZ;CLESSE INDUSTRIES;PIECE;16,04;12,03
405108;RACCORDS SERVICES;GAZ NATUREL    ;;760222;FOURREAU BAIONNETTE POUR PE GAZ;GURTNER;PIECE;17,69;13,27
405109;RACCORDS SERVICES;GAZ NATUREL    ;;760225;ROBIFLEX GAZ LG 1,25M 0239104 GN;BANIDES & DEBEAURAIN;PIECE;94,85;71,14
405110;RACCORDS SERVICES;GAZ NATUREL    ;;760226;ROBIFLEX GAZ LG 1,50M 0239105 GN;GURTNER;PIECE;95,2;71,4
405111;RACCORDS SERVICES;GAZ NATUREL    ;;760227;SACHET 10 JOINTS GAZ 6X20 0232920;GURTNER;SACH.;10,44;4,7
405112;RACCORDS SERVICES;GAZ NATUREL    ;;760228;SACHET 5 JOINTS GAZ 10/32 0232921;GURTNER;SACH.;11,09;4,99
405113;RACCORDS SERVICES;GAZ NATUREL    ;;760229;SACHET 5 JOINTS GAZ DN40 50X60;GURTNER;SACH.;20,72;9,32
405114;RACCORDS SERVICES;GAZ NATUREL    ;;760230;SACHET 5 JOINTS GAZ DN50 60X70;GURTNER;SACH.;26,15;11,77
405115;RACCORDS SERVICES;CONDUITES MONTA;;760232;COLLIER MISE A LA TERRE CM CU28;GURTNER;PIECE;43,23;32,42
405116;RACCORDS SERVICES;CONDUITES MONTA;;760233;COLLIER MISE A LA TERRE CM CU35;GURTNER;PIECE;50,32;37,74
405117;RACCORDS SERVICES;CONDUITES MONTA;;760234;COLLIER MISE A LA TERRE CM CU54;GURTNER;PIECE;69,52;52,14
405118;RACCORDS SERVICES;CONTROLEUR VIRA;;760235;CONTROLEUR ETANCHEITE GAZ VIRAX;VIRAX SA;PIECE;376,53;282,4
405119;RACCORDS SERVICES;GAZ NATUREL    ;;760236;VOLUME TAMPON 10L FF 33*42;GURTNER;PIECE;321,29;240,97
405120;RACCORDS SERVICES;GAZ NATUREL    ;;760237;VOLUME TAMPON 25L FF 40*49;GURTNER;PIECE;393,71;295,28
405121;RACCORDS SERVICES;GAZ NATUREL    ;;760238;VOLUME TAMPON 50L FF 40*49;GURTNER;PIECE;398,73;299,05
405122;RACCORDS SERVICES;GAZ NATUREL    ;;760240;MANCHETTE GN DN20 CU22 AC26,9 0222002;GURTNER;PIECE;30,29;13,63
405123;RACCORDS SERVICES;GAZ NATUREL    ;;760241;MANCHETTE GN DN25 CU28 AC33,7 0222003;GURTNER;PIECE;36,95;16,63
405124;RACCORDS SERVICES;GAZ NATUREL    ;;760242;MANCHETTE GN DN32 CU35 AC42,4 0222005;GURTNER;PIECE;44,02;19,81
405125;RACCORDS SERVICES;GAZ NATUREL    ;;760244;MANCHETTE GN DN50 CU54 AC60,3 0222016;GURTNER;PIECE;63,92;28,76
405126;RACCORDS SERVICES;B.S/VERRE DORMA;;760245;BOITE S/VERRE DORMANT 250X180X70;CODITHERM DISTRIBUTION;PIECE;49,22;36,91
405127;RACCORDS SERVICES;GAZ NATUREL    ;;760252;REGULATEUR BCH30 GN 300 MBAR 3457000;GURTNER;PIECE;586,6;439,95
405128;RACCORDS SERVICES;GIACOMINI      ;;760253;GIACO VANNE GAZ R950 12X17 NF;GIACOMINI;PIECE;5,7;4,27
405129;RACCORDS SERVICES;GIACOMINI      ;;760254;GIACO VANNE GAZ R950 15X21 NF;GIACOMINI;PIECE;8,07;6,05
405130;RACCORDS SERVICES;GIACOMINI      ;;760255;GIACO VANNE GAZ R950 20X27 NF;GIACOMINI;PIECE;9,45;7,09
405131;RACCORDS SERVICES;GIACOMINI      ;;760256;GIACO VANNE GAZ R950 26X34 NF;GIACOMINI;PIECE;18,04;13,53
405132;RACCORDS SERVICES;GIACOMINI      ;;760257;GIACO VANNE GAZ R950 33X42 NF;GIACOMINI;PIECE;21,11;15,83
405133;RACCORDS SERVICES;GIACOMINI      ;;760258;GIACO VANNE GAZ R950 40X49 NF;GIACOMINI;PIECE;31,13;23,35
405134;RACCORDS SERVICES;GIACOMINI      ;;760259;GIACO VANNE GAZ R950 50X60 NF;GIACOMINI;PIECE;62,75;47,06
405135;RACCORDS SERVICES;ELECTROVANNES W;;760276;ELECTROVANNE GAZ AUTOMATIQUE 20X27;WATTS;PIECE;300,36;225,27
405136;RACCORDS SERVICES;ELECTROVANNES W;;760277;ELECTROVANNE GAZ AUTOMATIQUE 15X21;WATTS;PIECE;242,55;181,91
405137;RACCORDS SERVICES;GAZ NATUREL    ;;760278;COURONNE PLT TRACPIPE DN15X30M;BANIDES & DEBEAURAIN;PIECE;484,18;363,13
405138;RACCORDS SERVICES;GAZ NATUREL    ;;760279;COURONNE PLT TRACPIPE DN20X30M;BANIDES & DEBEAURAIN;PIECE;618,16;463,62
405139;RACCORDS SERVICES;GAZ NATUREL    ;;760280;COURONNE PLT TRACPIPE DN25X55M;BANIDES & DEBEAURAIN;PIECE;1566,95;1175,21
405140;RACCORDS SERVICES;GAZ NATUREL    ;;760281;COURONNE PLT TRACPIPE DN32X45M;BANIDES & DEBEAURAIN;PIECE;1785,17;1338,88
405141;RACCORDS SERVICES;GAZ NATUREL    ;;760282;RACC PLT TRACPIPE DN15 F15X21 JPG;BANIDES & DEBEAURAIN;PIECE;34,3;25,72
405142;RACCORDS SERVICES;GAZ NATUREL    ;;760283;RACC PLT TRACPIPE DN15 F20X27 JPG;BANIDES & DEBEAURAIN;PIECE;50,99;38,24
405143;RACCORDS SERVICES;GAZ NATUREL    ;;760284;RACC PLT TRACPIPE DN20 F20X27 JPG;BANIDES & DEBEAURAIN;PIECE;46,4;34,8
405144;RACCORDS SERVICES;GAZ NATUREL    ;;760285;RACC PLT TRACPIPE DN25 F26X34 JPG;BANIDES & DEBEAURAIN;PIECE;82,68;62,01
405145;RACCORDS SERVICES;GAZ NATUREL    ;;760286;RACC PLT TRACPIPE DN25 F33X42 JPG;BANIDES & DEBEAURAIN;PIECE;104,47;78,35
405146;RACCORDS SERVICES;GAZ NATUREL    ;;760287;RACC PLT TRACPIPE DN32 F33X42 JPG;BANIDES & DEBEAURAIN;PIECE;118,52;88,89
405147;RACCORDS SERVICES;GAZ NATUREL    ;;760288;RACC PLT TRACPIPE DN20 F6/20 JPC;BANIDES & DEBEAURAIN;PIECE;60,96;45,72
405148;RACCORDS SERVICES;GAZ NATUREL    ;;760289;RACC PLT TRACPIPE DN25 F6/20 JPC;BANIDES & DEBEAURAIN;PIECE;77,81;58,36
405149;RACCORDS SERVICES;GAZ NATUREL    ;;760290;RACC PLT TRACPIPE DN32 F10/32 JPC;BANIDES & DEBEAURAIN;PIECE;132,22;99,16
405150;RACCORDS SERVICES;GAZ NATUREL    ;;760291;RACC PLT TRACPIPE DN20 M20X27 JPG;BANIDES & DEBEAURAIN;PIECE;37,52;28,14
405151;RACCORDS SERVICES;GAZ NATUREL    ;;760292;RACC PLT TRACPIPE DN25 M26X34 JPG;BANIDES & DEBEAURAIN;PIECE;54,99;41,24
405152;RACCORDS SERVICES;GAZ NATUREL    ;;760293;RACC PLT TRACPIPE DN25 M33X42 JPG;BANIDES & DEBEAURAIN;PIECE;66,92;50,19
405153;RACCORDS SERVICES;GAZ NATUREL    ;;760294;TE INEGAL PLT TRACPIPE DN20-15-20;BANIDES & DEBEAURAIN;PIECE;86,46;64,84
405154;RACCORDS SERVICES;GAZ NATUREL    ;;760295;TE INEGAL PLT TRACPIPE DN20-15-15;BANIDES & DEBEAURAIN;PIECE;86,46;64,84
405155;RACCORDS SERVICES;GAZ NATUREL    ;;760296;TE INEGAL PLT TRACPIPE DN25-15-25;BANIDES & DEBEAURAIN;PIECE;135,83;101,87
405156;RACCORDS SERVICES;GAZ NATUREL    ;;760297;TE INEGAL PLT TRACPIPE DN25-15-20;BANIDES & DEBEAURAIN;PIECE;135,83;101,87
405157;RACCORDS SERVICES;GAZ NATUREL    ;;760298;MANCHON PLT TRACPIPE DN15;BANIDES & DEBEAURAIN;PIECE;43,82;32,86
405158;RACCORDS SERVICES;GAZ NATUREL    ;;760299;MANCHON PLT TRACPIPE DN20;BANIDES & DEBEAURAIN;PIECE;60,84;45,63
405159;RACCORDS SERVICES;GAZ NATUREL    ;;760300;MANCHON PLT TRACPIPE DN25;BANIDES & DEBEAURAIN;PIECE;83,75;62,81
405160;RACCORDS SERVICES;GAZ NATUREL    ;;760301;MANCHON PLT TRACPIPE DN32;BANIDES & DEBEAURAIN;PIECE;209,41;157,06
405161;RACCORDS SERVICES;GAZ NATUREL    ;;760302;BANDE ADHES P/TRACPIPE 25MM-L10M;BANIDES & DEBEAURAIN;PIECE;45,56;34,17
405162;RACCORDS SERVICES;GAZ NATUREL    ;;760303;BANDE ADHES P/TRACPIPE 50MM-L10M;BANIDES & DEBEAURAIN;PIECE;86,32;64,74
405163;RACCORDS SERVICES;GAZ PROPANE    ;;765001;ENSEMBLE PROPANE PROKIT+ S 8135013V;CLESSE INDUSTRIES;PIECE;232,65;134,36
405164;RACCORDS SERVICES;GAZ PROPANE    ;;765002;ENS.PROKIT SECURITE 1,3 KG/H;CLESSE INDUSTRIES;PIECE;258,5;149,28
405165;RACCORDS SERVICES;GAZ PROPANE    ;;765003;DETENDEUR T PROPANE A SECU. 6445005;CLESSE INDUSTRIES;PIECE;48,88;28,23
405166;RACCORDS SERVICES;GAZ PROPANE    ;;765004;DETENDEUR S PROPANE A SECU. 6455003;CLESSE INDUSTRIES;PIECE;48,88;28,23
405167;RACCORDS SERVICES;GAZ PROPANE    ;;765005;DETEND. S5 A SECU. PROPANE 6455303;CLESSE INDUSTRIES;PIECE;72,78;42,03
405168;RACCORDS SERVICES;GAZ PROPANE    ;;765006;RAC 2 PIECE 20X150 AJUTA.10 PP04510;CLESSE INDUSTRIES;PIECE;4,35;2,61
405169;RACCORDS SERVICES;GAZ PROPANE    ;;765007;RAC 2 PIECE 20X150 AJUTA.12 PP04512;CLESSE INDUSTRIES;PIECE;4,35;2,61
405170;RACCORDS SERVICES;GAZ PROPANE    ;;765008;RAC 2 PIECE 20X150 AJUTA.14 PP04520;CLESSE INDUSTRIES;PIECE;5,53;3,32
405171;RACCORDS SERVICES;GAZ PROPANE    ;;765009;LYRE P14 0,45M P001400;GURTNER;PIECE;17,06;10,23
405172;RACCORDS SERVICES;GAZ PROPANE    ;;765010;LYRE P30 0,70M P003000;GURTNER;PIECE;22,2;13,32
405173;RACCORDS SERVICES;GAZ PROPANE    ;;765011;BOUCHON P34 FEMELLE 20X150 P340100;CLESSE INDUSTRIES;PIECE;4,23;2,54
405174;RACCORDS SERVICES;GAZ PROPANE    ;;765012;INVERS AUTOMATIC 2175C PRO 2175C01;CLESSE INDUSTRIES;PIECE;131,05;75,68
405175;RACCORDS SERVICES;GAZ PROPANE    ;;765013;VANNE D'ARR 1/4 TR 20X150 0812023;CLESSE INDUSTRIES;PIECE;21,08;12,65
405176;RACCORDS SERVICES;GAZ PROPANE    ;;765014;DETEND APZ40 CITERNE PROPA 002742AC;GURTNER;PIECE;80,1;46,25
