_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
201213;Socolec;GENIECLIMATIQUE;;21107;00016021107;CHAUFFEEAUBLINDEVM75LMONOMURAL;ATLANTIC;UN;487,76;164,30
201214;Socolec;GENIECLIMATIQUE;;21110;00016021110;CHAUFFEEAUBLINDEVM100LMONOMURAL;ATLANTIC;UN;396,31;132,72
201215;Socolec;GENIECLIMATIQUE;;21115;00016021115;CHAUFFEEAUBLINDEVM150LMONOMURAL;ATLANTIC;UN;460,69;154,27
201216;Socolec;GENIECLIMATIQUE;;21120;00016021120;CHAUFFEEAUBLINDEVM200LMONOMURAL;ATLANTIC;UN;512,52;176,17
201217;Socolec;GENIECLIMATIQUE;;21320;00016021320;CHAUFFEEAUBLINDEVM200LTCMURAL;ATLANTIC;UN;776,23;265,55
201218;Socolec;GENIECLIMATIQUE;;22115;00016022115;CHAUFFEEAUBLINDEVS150LMONOS/SOCLE;ATLANTIC;UN;749,68;260,42
201219;Socolec;GENIECLIMATIQUE;;22120;00016022120;CHAUFFEEAUBLINDEVS200LMONOS/SOCLE;ATLANTIC;UN;852,97;305,27
201220;Socolec;GENIECLIMATIQUE;;22320;00016022320;CHAUFFEEAUBLINDEVS200LTCS/SOCLE;ATLANTIC;UN;873,36;312,57
201221;Socolec;GENIECLIMATIQUE;;22125;00016022125;CHAUFFEEAUBLINDEVS250LMONOS/SOCLE;ATLANTIC;UN;763,61;259,03
201222;Socolec;GENIECLIMATIQUE;;22325;00016022325;CHAUFFEEAUBLINDEVS250LTCS/SOCLE;ATLANTIC;UN;1016,58;358,48
201223;Socolec;GENIECLIMATIQUE;;22130;00016022130;CHAUFFEEAUBLINDEVS300LMONOS/SOCLE;ATLANTIC;UN;782,04;274,19
201224;Socolec;GENIECLIMATIQUE;;22330;00016022330;CHAUFFEEAUBLINDEVS300LTCS/SOCLE;ATLANTIC;UN;1020,35;370,55
201225;Socolec;GENIECLIMATIQUE;;322350;X;CHAUFFEEAUBLINDEVS500LTCS/SOCLE;ATLANTIC;UN;;
201226;Socolec;GENIECLIMATIQUE;;155410;00016155410;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOHM100LMONOHORIZONTALÿ530HT840;ATLANTIC;UN;890,80;300,06
201227;Socolec;GENIECLIMATIQUE;;155415;00016155415;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOHM150LMONOHORIZONTALÿ530HT1140;ATLANTIC;UN;959,71;343,48
201228;Socolec;GENIECLIMATIQUE;;155420;00016155420;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOHM200LMONOHORIZONTALÿ530HT1460;ATLANTIC;UN;1105,09;401,32
201229;Socolec;GENIECLIMATIQUE;;153105;00016153105;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM50LMONOMURALÿ505HT570;ATLANTIC;UN;591,04;199,09
201230;Socolec;GENIECLIMATIQUE;;153107;00016153107;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM75LMONOMURALÿ510HT700;ATLANTIC;UN;663,56;209,54
201231;Socolec;GENIECLIMATIQUE;;153110;00016153110;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM100LMONOMURALÿ510HT865;ATLANTIC;UN;577,93;207,62
201232;Socolec;GENIECLIMATIQUE;;156210;00016156210;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM100LMONOMURALÿ570HT770COMPACT;ATLANTIC;UN;672,32;208,77
201233;Socolec;GENIECLIMATIQUE;;153115;00016153115;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM150LMONOMURALÿ530HT1165;ATLANTIC;UN;659,86;237,05
201234;Socolec;GENIECLIMATIQUE;;156215;00016156215;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM150LMONOMURALÿ570HT1035COMPACT;ATLANTIC;UN;713,41;240,31
201235;Socolec;GENIECLIMATIQUE;;153120;00016153120;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM200LMONOMURALÿ530HT1480;ATLANTIC;UN;738,52;271,33
201236;Socolec;GENIECLIMATIQUE;;156220;00016156220;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM200LMONOMURALÿ570HT1285COMPACT;ATLANTIC;UN;786,29;273,13
201237;Socolec;GENIECLIMATIQUE;;154315;00016154315;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVS150LMONOS/SOCLEÿ530HT1170;ATLANTIC;UN;1029,71;379,37
201238;Socolec;GENIECLIMATIQUE;;154320;00016154320;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVS200LMONOS/SOCLEÿ530HT1485;ATLANTIC;UN;1163,34;422,48
201239;Socolec;GENIECLIMATIQUE;;154325;00016154325;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVS250LMONOS/SOCLEÿ530HT1805;ATLANTIC;UN;1175,01;430,57
201240;Socolec;GENIECLIMATIQUE;;154330;00016154330;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVS300LMONOS/SOCLEÿ570HT1765;ATLANTIC;UN;1212,52;449,93
201241;Socolec;GENIECLIMATIQUE;;9231;00016009231;TREPIEDUNIVERSELQUADRIPODE50A200L;ATLANTIC;UN;52,47;18,23
201242;Socolec;GENIECLIMATIQUE;;221074;00018221074;CHAUFFEEAUBLINDE15LSOUSEVIERMONO;THERMOR;UN;483,25;183,64
201243;Socolec;GENIECLIMATIQUE;;231020;00018231020;CHAUFFEEAUBLINDE30LSUREVIERMONOCOMPACT;THERMOR;UN;568,63;216,08
201244;Socolec;GENIECLIMATIQUE;;241040;00018241040;CHAUFFEEAUBLINDEVM50LMONOMURAL;THERMOR;UN;652,90;248,10
201245;Socolec;GENIECLIMATIQUE;;251043;00018251043;CHAUFFEEAUBLINDEVM75LMONOMURAL;THERMOR;UN;669,82;254,53
