_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900033;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1GALV;T1GFM40;11120359;TUBET.1GALVF.M.DE40/49;ARVEDITUBIACCIAIO;METRE;15,34;0
900034;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1GALV;T1GFM50;11120375;TUBET.1GALVF.M.DE50/60;ARVEDITUBIACCIAIO;METRE;21;0
900035;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1GALV;T1GFM66;11120417;TUBET.1GALVF.M.DE66/76;ARVEDITUBIACCIAIO;METRE;27,16;0
900036;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1GALV;T1GFM80;11120433;TUBET.1GALVF.M.DE80/90;ARVEDITUBIACCIAIO;METRE;31,98;0
900037;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1GALV;T1GFM102;11120474;TUBET.1GALVF.M.DE102/114;ARVEDITUBIACCIAIO;METRE;47;0
900038;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;71003;11710035;TUBET.3NOIRB.L.DE8/13;S.T.T.;METRE;7,78;0
900039;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;71005;11710050;TUBET.3NOIRB.L.DE12/17;S.T.T.;METRE;9,35;0
900040;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-15/;11710076;TUBET.3NOIRB.L.DE15/21;TMKARTROMS.A.;METRE;6,53;0
900041;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-20/;11710092;TUBET.3NOIRB.L.DE20/27;TMKARTROMS.A.;METRE;8,4;0
900042;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-26/;11710118;TUBET.3NOIRB.L.DE26/34;TMKARTROMS.A.;METRE;9,54;0
900043;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-33/;11710134;TUBET.3NOIRB.L.DE33/42;TMKARTROMS.A.;METRE;12,26;0
900044;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-40/;11710159;TUBET.3NOIRB.L.DE40/49;TMKARTROMS.A.;METRE;14,07;0
900045;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-50/;11710175;TUBET.3NOIRB.L.DE50/60;TMKARTROMS.A.;METRE;19,89;0
900046;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-66/;11710217;TUBET.3NOIRB.L.DE66/76;TMKARTROMS.A.;METRE;25,52;0
900047;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-80/;11710233;TUBET.3NOIRB.L.DE80/90;TMKARTROMS.A.;METRE;33,2;0
900048;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3NOIR;S195T3-102;11710274;TUBET.3NOIRB.L.DE102/114;TMKARTROMS.A.;METRE;50,04;0
900049;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72029;11720299;TUBET.3GALVB.L.DE12/17;S.T.T.;METRE;13,59;0
900050;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72031;11720315;TUBET.3GALVB.L.DE15/21;S.T.T.;METRE;11,5;0
900051;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72033;11720331;TUBET.3GALVB.L.DE20/27;S.T.T.;METRE;16,22;0
900052;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72035;11720356;TUBET.3GALVB.L.DE26/34;S.T.T.;METRE;22,75;0
900053;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72037;11720372;TUBET.3GALVB.L.DE33/42;S.T.T.;METRE;27,43;0
900054;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72039;11720398;TUBET.3GALVB.L.DE40/49;S.T.T.;METRE;31,2;0
900055;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72041;11720414;TUBET.3GALVB.L.DE50/60;S.T.T.;METRE;40,55;0
900056;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72045;11720455;TUBET.3GALVB.L.DE66/76;S.T.T.;METRE;46,27;0
900057;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72047;11720471;TUBET.3GALVB.L.DE80/90;S.T.T.;METRE;58,15;0
900058;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET3GALV;72051;11720513;TUBET.3GALVB.L.DE102/114;S.T.T.;METRE;93,02;0
900059;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-33;11730017;TUBET.10DE33,7/2,6;TMKARTROMS.A.;METRE;8,73;0
900060;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-42;11730058;TUBET.10DE42,4/2,6;TMKARTROMS.A.;METRE;10,11;0
900061;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-48;11730090;TUBET.10DE48,3/2,6;TMKARTROMS.A.;METRE;12,97;0
900062;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-60;11730157;TUBET.10DE60,3/2,9;TMKARTROMS.A.;METRE;16,27;0
900063;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73017;11730173;TUBET.10DE70,0/2,9;S.T.T.;METRE;26,19;0
900064;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-76;11730199;TUBET.10DE76,1/2,9;TMKARTROMS.A.;METRE;21,23;0
900065;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-88;11730215;TUBET.10DE88,9/3,2;TMKARTROMS.A.;METRE;29;0
900066;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73023;11730231;TUBET.10DE101,6/3,6;S.T.T.;METRE;45,12;0
900067;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73025;11730256;TUBET.10DE108,0/3,6;S.T.T.;METRE;46,46;0
900068;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;P235T10-11;11730272;TUBET.10DE114,3/3,6;TMKARTROMS.A.;METRE;43,12;0
900069;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73029;11730298;TUBET.10DE133,0/4,0;S.T.T.;METRE;74,41;0
900070;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73031;11730314;TUBET.10DE139,7/4,0;S.T.T.;METRE;70,6;0
900071;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73033;11730330;TUBET.10DE159,0/4,5;S.T.T.;METRE;93,35;0
900072;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;13035;11730355;TUBET.10DE168,3/4,5;S.T.T.;METRE;93,02;0
900073;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73037;11730371;TUBET.10DE193,7/5,6;S.T.T.;METRE;160,18;0
900074;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73039;11730397;TUBET.10DE219,1/6,3;S.T.T.;METRE;183,17;0
900075;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73041;11730413;TUBET.10DE244,5/6,3;S.T.T.;METRE;212,89;0
900076;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73043;11730439;TUBET.10DE273,0/6,3;S.T.T.;METRE;235,26;0
900077;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73045;11730454;TUBET.10DE323,9/7,1;S.T.T.;METRE;334,28;0
900078;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73047;11730470;TUBET.10DE355,6/8,0;S.T.T.;METRE;413,18;0
900079;ANJACCSI;INDUSTRIE;TUBESACIERSANSSOUDURET10;73049;11730496;TUBET.10DE406,4/8,8;S.T.T.;METRE;605,79;0
900080;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N5;12110011;COUDENOIRMFN'1DE5/10;VALFITGROUPESAS;UNITE;9,48;0
900081;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N8;12110029;COUDENOIRMFN'1DE8/13;VALFITGROUPESAS;UNITE;4,23;0
900082;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N12;12110037;COUDENOIRMFN'1DE12/17;VALFITGROUPESAS;UNITE;5,1;0
900083;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;1N15;12110045;COUDENOIRMFN'1DE15/21;VALFITGROUPESAS;UNITE;4,54;0
