ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET;;;;
70040;CDL;APPAREILLAGE;799150;COFFRET DE COMMUNICATION BASIC;ABB;UN;58;40,26;;;;
70041;CDL;APPAREILLAGE;799152;COFFRET DE COMMUNICATION GRADE 1;ABB;UN;237;163,50;;;;
70042;CDL;APPAREILLAGE;799153;COFFRET DE COMMUNICATION GRADE 3;ABB;UN;905;624,00;;;;
70043;CDL;ECLAIRAGE;AL10010;SPOT TBT ENCASTRE FIXE 12V  Ø50 NICKEL;ABI ALUM;UN;3;2,02;;;;
70044;CDL;ECLAIRAGE;AL10012;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;5;3,26;;;;
70045;CDL;ECLAIRAGE;AL10110KT;KIT SPOT TBT ETANCHE  SDB FIXE  BLANC TRANSFO ELECTRO + LAMPE;ABI ALUM;UN;38;26,40;;;;
70046;CDL;ECLAIRAGE;AL10402;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;8;5,40;;;;
70047;CDL;ECLAIRAGE;AL10800;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 BLANC;ABI ALUM;UN;5;3,77;;;;
70048;CDL;ECLAIRAGE;AL10950;KIT SPOT TBT ELECTRONIQUE FIXE BLANC;ABI ALUM;UN;15;10,00;;;;
70049;CDL;ECLAIRAGE;AL10952;KIT SPOT TBT ELECTRONIQUE FIXE DORE;ABI ALUM;UN;25;17,16;;;;
70050;CDL;ECLAIRAGE;AL10960;KIT SPOT TBT ORIENTABLE ELECTRONIQUE BLANC;ABI ALUM;UN;15;10,30;;;;
70051;CDL;ECLAIRAGE;AL10962;KIT SPOT TBT ORIENTABLE ELECTRONIQUE DORE;ABI ALUM;UN;27;18,56;;;;
70052;CDL;ECLAIRAGE;AL38602;PROJECTEUR ETANCHE 300W NOIR;ABI ALUM;UN;17;11,80;;;;
70053;CDL;ECLAIRAGE;AL38606;PROJECTEUR ETANCHE 300W BLANC;ABI ALUM;UN;17;11,80;;;;
70054;CDL;GENIE CLIMATIQUE;THXP075 - 150;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;815;469,05;;;;
70055;CDL;GENIE CLIMATIQUE;THXP075 - 200;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;816;469,48;;;;
70056;CDL;GENIE CLIMATIQUE;THXP100 - 200;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;840;475,14;;;;
70057;CDL;GENIE CLIMATIQUE;THXP100 - 220;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;867;490,18;;;;
