_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
201967;Socolec;APPAREILLAGE;;401234;1401234;"PORTEBLANCHEPOURCOFFRETDRIVIA4R18MODULES		";LEGRAND;UN;101,01;31,39
201968;Socolec;APPAREILLAGE;;401341;1401341;PORTETRANSPARENTEPOURCOFFRETDRIVIA1X13M;LEGRAND;UN;45,57;17,32
201969;Socolec;APPAREILLAGE;;401342;1401342;PORTETRANSPARENTEPOURCOFFRETDRIVIA2X13M;LEGRAND;UN;60,83;17,6
201970;Socolec;APPAREILLAGE;;401343;1401343;PORTETRANSPARENTEPOURCOFFRETDRIVIA3X13M;LEGRAND;UN;71,15;20,38
201971;Socolec;APPAREILLAGE;;401344;1401344;PORTETRANSPARENTEPOURCOFFRETDRIVIA4X13M;LEGRAND;UN;91,97;26,57
201972;Socolec;APPAREILLAGE;;401371;1401371;REHAUSSEPOURCOFFRETDRIVIA1RX13M;LEGRAND;UN;59,55;18,08
201973;Socolec;APPAREILLAGE;;401372;1401372;REHAUSSEPOURCOFFRETDRIVIA2RX13M;LEGRAND;UN;67,22;20,91
201974;Socolec;APPAREILLAGE;;401373;1401373;REHAUSSEPOURCOFFRETDRIVIA3RX13M;LEGRAND;UN;73,03;22,15
201975;Socolec;APPAREILLAGE;;401374;1401374;REHAUSSEPOURCOFFRETDRIVIA4RX13M;LEGRAND;UN;80,72;24,05
201976;Socolec;APPAREILLAGE;;13401;3013401;COFFRETDEDISTRIB.OPALE1X13MODULESS/PORTE;SCHNEIDER;UN;44,73;12,92
201977;Socolec;APPAREILLAGE;;OPL18401;3511359;COFFRETDEDISTRIB.OPALE1X18MODULESS/PORTE;SCHNEIDER;UN;65,39;18,76
201978;Socolec;APPAREILLAGE;;13402;3013402;COFFRETDEDISTRIB.OPALE2X13MODULESS/PORTE;SCHNEIDER;UN;69,12;20,41
201979;Socolec;APPAREILLAGE;;OPL18402;3511360;COFFRETDEDISTRIB.OPALE2X18MODULESS/PORTE;SCHNEIDER;UN;106,3;29,91
201980;Socolec;APPAREILLAGE;;13403;3013403;COFFRETDEDISTRIB.OPALE3X13MODULESS/PORTE;SCHNEIDER;UN;100,65;29,72
201981;Socolec;APPAREILLAGE;;OPL18403;3511361;COFFRETDEDISTRIB.OPALE3X18MODULESS/PORTE;SCHNEIDER;UN;153,03;44,19
201982;Socolec;APPAREILLAGE;;13404;3013404;COFFRETDEDISTRIB.OPALE4X13MODULESS/PORTE;SCHNEIDER;UN;140,41;41,47
201983;Socolec;APPAREILLAGE;;13406;3013406;COFFRETDEDISTRIB.OPALESAILLIETRI1RANGEE;SCHNEIDER;UN;60,11;15,76
201984;Socolec;APPAREILLAGE;;PRA13752;3235945;COFFRETDEDISTRIB.PRAGMA2X18MODULESS/PORTE;SCHNEIDER;UN;181,25;52,91
201985;Socolec;APPAREILLAGE;;PRA13753;3235946;COFFRETDEDISTRIB.PRAGMA3X18MODULESS/PORTE;SCHNEIDER;UN;228,13;68,11
201986;Socolec;APPAREILLAGE;;PRA13754;3235947;COFFRETDEDISTRIB.PRAGMA4X18MODULESS/PORTE;SCHNEIDER;UN;323,52;96,58
201987;Socolec;APPAREILLAGE;;21086;3021086;PEIGNEDERACCORDEMENT1PH+N12MOD.;SCHNEIDER;UN;28,56;10,03
201988;Socolec;APPAREILLAGE;;21090;3021090;PEIGNEDERACCORDEMENT3PH+N12MOD.;SCHNEIDER;UN;31,7;11,42
201989;Socolec;APPAREILLAGE;;13204;3013204;PLATINEDEBRANCHEMENT225X253X36COMPATIBLEA/COFFRETOPALE;SCHNEIDER;UN;34,69;9,71
201990;Socolec;APPAREILLAGE;;13205;3013205;PLATINEDEBRANCHEMENT225X253X53COMPATIBLEA/COFFRETOPALE;SCHNEIDER;UN;34,15;9,86
201991;Socolec;APPAREILLAGE;;13421;3013421;PORTEOPAQUEPOURCOFFRET13401;SCHNEIDER;UN;29,58;8,32
201992;Socolec;APPAREILLAGE;;13422;3013422;PORTEOPAQUEPOURCOFFRET13402;SCHNEIDER;UN;41,68;11,73
201993;Socolec;APPAREILLAGE;;13423;3013423;PORTEOPAQUEPOURCOFFRET13403;SCHNEIDER;UN;45,83;12,89
201994;Socolec;APPAREILLAGE;;13424;3013424;PORTEOPAQUEPOURCOFFRET13404;SCHNEIDER;UN;61,47;17,75
201995;Socolec;APPAREILLAGE;;PRA16218;3235914;PORTEOPAQUEPOURCOFFRETPRA13752;SCHNEIDER;UN;56,65;15,15
201996;Socolec;APPAREILLAGE;;PRA16318;3235921;PORTEOPAQUEPOURCOFFRETPRA13753;SCHNEIDER;UN;61,16;16,83
201997;Socolec;APPAREILLAGE;;PRA16418;3235922;PORTEOPAQUEPOURCOFFRETPRA13754;SCHNEIDER;UN;71,74;20,4
201998;Socolec;APPAREILLAGE;;13418;3013418;PORTEOPAQUEPOURPANNEAUDECONTROLEOPALE;SCHNEIDER;UN;49,06;13,48
201999;Socolec;APPAREILLAGE;;13426;3013426;PORTETRANSPARENTEPOURCOFFRET13402;SCHNEIDER;UN;42,94;16,32
202000;Socolec;APPAREILLAGE;;13428;3013428;PORTETRANSPARENTEPOURCOFFRET13404;SCHNEIDER;UN;62,75;23,84
202001;Socolec;APPAREILLAGE;;PRA15218;3235897;PORTETRANSPARENTEPOURCOFFRETPRA13752;SCHNEIDER;UN;70,61;26,83
202002;Socolec;APPAREILLAGE;;PRA15318;3235898;PORTETRANSPARENTEPOURCOFFRETPRA13753;SCHNEIDER;UN;80,15;30,46
202003;Socolec;APPAREILLAGE;;PRA15418;3235899;PORTETRANSPARENTEPOURCOFFRETPRA13754;SCHNEIDER;UN;103,86;39,47
202004;Socolec;APPAREILLAGE;;10750;3010750;REHAUSSEPOUROPALE1RANGEE;SCHNEIDER;UN;45,08;11,93
202005;Socolec;APPAREILLAGE;;10759;3010759;REHAUSSEPOUROPALE2RANGEES;SCHNEIDER;UN;48,83;12,8
202006;Socolec;APPAREILLAGE;;10760;3010760;REHAUSSEPOUROPALE3RANGEES;SCHNEIDER;UN;52,26;13,83
202007;Socolec;APPAREILLAGE;;13388;3013388;SERRUREACLEPOURPORTEOPALE;SCHNEIDER;UN;26,03;6,95
202008;Socolec;APPAREILLAGE;;ETC225;5083240076;CONTACTEURJ/N2X25A2F;HAGER;UN;124,96;46,48
202009;Socolec;APPAREILLAGE;;ETS221B;10240990;CONTACTEURJ/N2X25A2FSANSVIS;HAGER;UN;131,26;48,12
202010;Socolec;APPAREILLAGE;;412501;1412501;CONTACTEURJ/N2X25ASILENCIEUX;LEGRAND;UN;117,41;38,29
202011;Socolec;APPAREILLAGE;;16735;3016735;CONTACTEURDEPUISSANCE2X20A2FCT'CLICSTANDARD(DUOLINE);SCHNEIDER;UN;91,19;26,96
202012;Socolec;APPAREILLAGE;;A9C25732;1887009718;"CONTACTEURDEPUISSANCE2X25A2NO-240VCDEMANUELLE
";SCHNEIDER;UN;128,1;47,81
202013;Socolec;APPAREILLAGE;;A9C24732;1887009716;"CONTACTEURDEPUISSANCE2X25A2NO
";SCHNEIDER;UN;105,76;38,98
202014;Socolec;APPAREILLAGE;;A9C20842;1887008860;CONTACTEURDEPUISSANCE2X40A;SCHNEIDER;UN;168,99;61,26
202015;Socolec;APPAREILLAGE;;A9C20837;1887037510;CONTACTEURDEPUISSANCE4X25A4NF;SCHNEIDER;UN;159,91;58,36
202016;Socolec;APPAREILLAGE;;A9C24834;1887009717;CONTACTEURDEPUISSANCE4X25A4NO;SCHNEIDER;UN;140,23;51,18
202017;Socolec;APPAREILLAGE;;A9C20847;1887037512;CONTACTEURDEPUISSANCE4X40A;SCHNEIDER;UN;284,58;103,85
202018;Socolec;APPAREILLAGE;;16736;3016736;CONTACTEURJ/N2X20A;SCHNEIDER;UN;111,28;33,64
202019;Socolec;APPAREILLAGE;;A9C15031;1887037696;CONTACTEURJ/N2X20ASILENCIEUX1F;SCHNEIDER;UN;171,5;60,98
202020;Socolec;APPAREILLAGE;;A9C21833;1887037533;CONTACTEURJ/N3X25A;SCHNEIDER;UN;184,63;68,05
202024;Socolec;APPAREILLAGE;;A9N21207;1887068505;DISJONCTEURDIFFERENTIELMONOBLOCPH+N10A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;273,51;100,26
202025;Socolec;APPAREILLAGE;;A9N21201;1887068499;DISJONCTEURDIFFERENTIELMONOBLOCPH+N10A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;238,29;84,26
202026;Socolec;APPAREILLAGE;;A9N21208;1887068506;DISJONCTEURDIFFERENTIELMONOBLOCPH+N16A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;283,53;100,26
202027;Socolec;APPAREILLAGE;;A9N21202;1887068500;DISJONCTEURDIFFERENTIELMONOBLOCPH+N16A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;232,15;84,26
202028;Socolec;APPAREILLAGE;;A9N21209;1887068507;DISJONCTEURDIFFERENTIELMONOBLOCPH+N20A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;313,31;101,38
202029;Socolec;APPAREILLAGE;;A9N21203;1887068501;DISJONCTEURDIFFERENTIELMONOBLOCPH+N20A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;241,47;85,39
202030;Socolec;APPAREILLAGE;;A9N21210;1887068508;DISJONCTEURDIFFERENTIELMONOBLOCPH+N25A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;300,79;101,94
202031;Socolec;APPAREILLAGE;;A9N21204;1887068502;DISJONCTEURDIFFERENTIELMONOBLOCPH+N25A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;251,21;85,93
202032;Socolec;APPAREILLAGE;;A9N21211;1887068509;DISJONCTEURDIFFERENTIELMONOBLOCPH+N32A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;317,71;106,67
202033;Socolec;APPAREILLAGE;;A9N21205;1887068503;DISJONCTEURDIFFERENTIELMONOBLOCPH+N32A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;263,84;95,13
202034;Socolec;APPAREILLAGE;;A9N21212;1887068510;DISJONCTEURDIFFERENTIELMONOBLOCPH+N40A300MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;307,32;108,67
202035;Socolec;APPAREILLAGE;;A9N21206;1887068504;DISJONCTEURDIFFERENTIELMONOBLOCPH+N40A30MA4,5KACOURBECTYPEAC;SCHNEIDER;UN;273,29;97,15
